INFO 2025-09-24 18:00:39,663 autoreload 19484 1340 Watching for file changes with StatReloader
INFO 2025-09-25 08:15:42,052 basehttp 14248 31036 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-09-25 08:16:37,704 basehttp 14248 31036 "POST /admin/users/user/2/change/ HTTP/1.1" 302 0
INFO 2025-09-25 08:16:37,732 basehttp 14248 31036 "GET /admin/users/user/ HTTP/1.1" 200 14441
INFO 2025-09-25 08:16:37,799 basehttp 14248 31036 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
WARNING 2025-09-25 08:17:35,268 log 14248 3816 Bad Request: /api/auth/login/
WARNING 2025-09-25 08:17:35,269 basehttp 14248 3816 "POST /api/auth/login/ HTTP/1.1" 400 76
INFO 2025-09-25 08:17:35,606 basehttp 14248 3816 - Broken pipe from ('127.0.0.1', 49675)
INFO 2025-09-25 08:22:09,530 basehttp 14248 41380 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-09-25 08:22:10,901 basehttp 14248 41380 "POST /api/auth/login/ HTTP/1.1" 200 767
INFO 2025-09-25 08:22:10,906 basehttp 14248 41380 "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
WARNING 2025-09-25 08:22:10,909 log 14248 41380 Unauthorized: /api/auth/profile/
WARNING 2025-09-25 08:22:10,909 basehttp 14248 41380 "GET /api/auth/profile/ HTTP/1.1" 401 209
INFO 2025-09-25 08:23:18,259 basehttp 14248 24728 "OPTIONS /api/auth/profile HTTP/1.1" 200 0
INFO 2025-09-25 08:23:18,275 basehttp 14248 24728 "GET /api/auth/profile HTTP/1.1" 301 0
WARNING 2025-09-25 08:23:18,519 log 14248 38724 Unauthorized: /api/auth/profile/
WARNING 2025-09-25 08:23:18,520 basehttp 14248 38724 "GET /api/auth/profile/ HTTP/1.1" 401 209
WARNING 2025-09-25 08:26:19,536 log 14248 29072 Not Found: /manifest.json
WARNING 2025-09-25 08:26:19,547 basehttp 14248 29072 "GET /manifest.json HTTP/1.1" 404 2757
INFO 2025-09-25 08:26:27,540 basehttp 14248 24312 "POST /api/auth/login/ HTTP/1.1" 200 767
INFO 2025-09-25 08:26:27,546 basehttp 14248 24312 "OPTIONS /api/auth/me/ HTTP/1.1" 200 0
WARNING 2025-09-25 08:26:27,560 log 14248 24312 Not Found: /api/auth/me/
WARNING 2025-09-25 08:26:27,561 basehttp 14248 24312 "GET /api/auth/me/ HTTP/1.1" 404 4685
WARNING 2025-09-25 08:26:35,980 log 14248 24312 Unauthorized: /api/auth/login/
WARNING 2025-09-25 08:26:35,981 basehttp 14248 24312 "POST /api/auth/login/ HTTP/1.1" 401 209
WARNING 2025-09-25 08:26:38,043 log 14248 24312 Unauthorized: /api/auth/login/
WARNING 2025-09-25 08:26:38,043 basehttp 14248 24312 "POST /api/auth/login/ HTTP/1.1" 401 209
WARNING 2025-09-25 08:26:38,731 log 14248 24312 Unauthorized: /api/auth/login/
WARNING 2025-09-25 08:26:38,732 basehttp 14248 24312 "POST /api/auth/login/ HTTP/1.1" 401 209
WARNING 2025-09-25 08:26:38,933 log 14248 24312 Unauthorized: /api/auth/login/
WARNING 2025-09-25 08:26:38,933 basehttp 14248 24312 "POST /api/auth/login/ HTTP/1.1" 401 209
WARNING 2025-09-25 08:26:39,116 log 14248 24312 Unauthorized: /api/auth/login/
WARNING 2025-09-25 08:26:39,117 basehttp 14248 24312 "POST /api/auth/login/ HTTP/1.1" 401 209
